headline;source;section;published;abstract;keywords;word_count
Apple Keeps Losing Patent Cases. Its Solution: Rewrite the Rules.;The New York Times;Technology;19/03/2024;After losing two complaints before the U.S. International Trade Commission, Apple has stepped up its lobbying to change the agency’s practices.;['Apple Inc', 'Inventions and Patents', 'Lobbying and Lobbyists', 'Computers and the Internet', 'Wearable Computing', 'Smartphones', 'Masimo Corporation', 'Law and Legislation', 'United States International Trade Commission', 'United States Politics and Government', 'Regulation and Deregulation of Industry'];1338
Apple and Google Are Discussing a Deal to Bring Generative A.I. to iPhones;The New York Times;Technology;19/03/2024;A partnership would extend the long relationship between the companies that has helped deliver everything from maps to search on Apple’s devices.;['Apple Inc', 'Google Inc', 'Artificial Intelligence', 'iPhone', 'Computers and the Internet', 'Smartphones', 'Microsoft Corp'];759
Apple Reverses Course and Allows Epic Games to Start Competing App Store;The New York Times;Technology;08/03/2024;After an inquiry by European regulators, Epic Games said Apple would allow it to access the software tools necessary to develop a game store.;['Computers and the Internet', 'Mobile Applications', 'Computer and Video Games', 'Software', 'Regulation and Deregulation of Industry', 'Antitrust Laws and Competition Issues', 'Apple Inc', 'Epic Games'];459
Apple Blocks Epic Games From Using iPhone Tools in Escalation of Feud;The New York Times;Technology;06/03/2024;The move tests the European Union’s new tech competition law, which was designed to allow competing app stores.;['iPhone', 'Antitrust Laws and Competition Issues', 'Computer and Video Games', 'Mobile Applications', 'Software', 'Apple Inc', 'Epic Games', 'European Commission', 'European Union', 'Europe', 'United States', 'Sweden'];741
Apple Fined $2 Billion by E.U. for Using App Store to Thwart Competition;The New York Times;Business;04/03/2024;Apple said it would appeal the penalty, the latest in a series of regulatory setbacks for the tech giant.;['Mobile Applications', 'Computers and the Internet', 'Software', 'Regulation and Deregulation of Industry', 'Fines (Penalties)', 'Antitrust Laws and Competition Issues', 'Mobile Commerce and Payments', 'Apple Inc', 'Spotify', 'Vestager, Margrethe', 'Europe', 'European Union', 'Audio Recordings, Downloads and Streaming', 'European Commission'];1026
FIFA Said to Be Close to TV Deal With Apple for New Tournament;The New York Times;Business;22/04/2024;The agreement would give the tech company worldwide rights for a monthlong World Cup-style competition between top teams set to take place next year.;['Apple Inc', 'Apple TV Plus', 'International Federation of Association Football (FIFA)', 'Soccer', 'Television', 'Video Recordings, Downloads and Streaming', 'World Cup (Soccer)', 'Infantino, Gianni'];704
Apple Says It Was Ordered to Pull WhatsApp From China App Store;The New York Times;Technology;19/04/2024;Apple said it removed WhatsApp and Threads from its China app offerings Friday on Beijing’s orders, amid technological tensions between the U.S. and China.;['Apple Inc', 'Threads (Mobile App)', 'WhatsApp Inc', 'China', 'Computers and the Internet', 'Mobile Applications', 'Instant Messaging', 'Social Media', 'TikTok (ByteDance)', 'Meta Platforms Inc', 'Beijing Bytedance Technology Co Ltd', 'Computer Security', 'Politics and Government', 'United States International Relations'];875
Apple Lifts Some Restrictions on iPhone Repairs;The New York Times;Technology;11/04/2024;This fall, the company will begin allowing customers to replace broken parts with used iPhone components without its previous software limits.;['Apple Inc', 'iPhone', 'Computers and the Internet', 'Smartphones', 'Software', 'Oregon', 'Law and Legislation', 'Batteries', 'Consumer Protection', 'Regulation and Deregulation of Industry'];559
Apple’s New iPad Ad Leaves Its Creative Audience Feeling … Flat;The New York Times;Business;08/05/2024;An ad meant to show how the updated device can do many things has become a metaphor for a community’s fears of the technology industry.;['Computers and the Internet', 'Advertising and Marketing', 'iPad', 'Apple Inc', 'Cook, Timothy D'];796
Apple Reports Decline in Sales and Profit Amid iPhone Struggles in China;The New York Times;Technology;02/05/2024;The company continues to lean on customers’ appetite for apps and services, as demand for its devices weakens.;['Computers and the Internet', 'Company Reports', 'Smartphones', 'iPhone', 'Artificial Intelligence', 'Apple Inc', 'China'];762
Apple Is First Company Charged Under New E.U. Competition Law;The New York Times;Technology;24/06/2024;The company’s App Store policies are illegal under the European Union’s Digital Markets Act, according to regulators in Brussels.;['Apple Inc', 'European Union', 'Computers and the Internet', 'Mobile Applications', 'Regulation and Deregulation of Industry', 'Europe', 'Antitrust Laws and Competition Issues'];936
